Noise,RPM,Check
7.02,5.9,0
7.03,16.76,1
7.04,9.84,0
7.04,19.24,1
7.06,7.87,0
7.09,13.56,1
7.09,16.13,0
7.11,10.27,0
7.11,21.7,1
7.12,17,0
7.13,4.5,0
7.14,12.49,0
7.14,11.43,0
7.17,20.77,1
7.18,18.02,1
7.2,15.38,0
7.2,19.18,0
7.21,4.81,0
7.22,8.45,0
7.24,5.1,0
7.25,18.69,0
7.26,8.8,0
7.27,20.38,1
7.27,15.81,1
7.27,14.93,0
7.28,5.84,0
7.28,5.14,0
7.28,17.26,1
7.31,16.9,1
7.31,9.4,0
7.31,8.56,0
7.31,4.05,0
7.31,16.29,0
7.32,13.93,0
7.32,7.15,0
7.33,4.64,0
7.34,11.18,0
7.35,6.56,0
7.35,4.74,0
7.36,17.31,1
7.37,13.45,0
7.37,21.6,0
7.38,4.73,0
7.38,18.31,0
7.39,7.18,0
7.39,11.65,0
7.39,7.53,0
7.4,6.97,0
7.42,9.62,0
7.42,5.99,0
7.43,3.49,0
7.43,20.09,1
7.43,13.12,1
7.45,19.9,1
7.48,20.32,1
7.48,7.92,0
7.48,11.69,0
7.49,17.93,1
7.5,9.57,0
7.51,9.51,0
7.52,12.32,0
7.52,18.2,0
7.53,9.82,0
7.55,5.53,0
7.56,15.99,1
7.57,13.59,1
7.57,8.42,0
7.57,4.71,0
7.58,13.15,1
7.58,10.85,0
7.58,14.47,0
7.64,11.6,0
7.64,18.3,0
7.65,10.15,0
7.66,4.85,0
7.66,15.44,0
7.67,10.42,0
7.68,5.23,0
7.68,4.6,0
7.68,4.48,0
7.68,5.21,0
7.69,14.67,1
7.7,9.04,0
7.7,16.52,0
7.72,7.45,0
7.72,4.93,0
7.72,5.96,0
7.72,11.72,0
7.73,11.44,0
7.74,13.36,1
7.76,16.72,0
7.77,12.49,0
7.78,5.98,0
7.79,16.6,0
7.8,8.06,0
7.81,3.59,0
7.82,8.04,0
7.82,18.64,1
7.82,6.38,0
7.82,6.93,0
7.84,10.81,0
7.84,2.99,0
7.85,8.11,0
7.86,5.45,0
7.86,5.43,0
7.86,4.49,0
7.87,12.12,0
7.87,18.6,0
7.88,17.47,1
7.9,19.48,1
7.9,18.58,0
7.92,5.47,0
7.92,17.47,0
7.93,8.07,0
7.93,9.78,0
7.95,11.31,0
7.95,15.27,0
7.96,19.44,0
7.96,18.84,0
7.97,4.56,0
7.99,18.35,1
8.01,16.9,1
8.01,17.69,1
8.01,10.27,1
8.01,15.84,0
8.01,16.96,1
8.02,4.71,0
8.03,11.87,0
8.04,6.08,0
8.05,2.96,0
8.05,4.55,0
8.06,7.68,0
8.07,7.32,0
8.07,16.77,0
8.08,11.56,0
8.08,17.37,0
8.09,7.78,0
8.09,15.65,0
8.11,19.62,1
8.11,5.52,0
8.15,6.84,0
8.16,8.65,0
8.16,7.27,0
8.16,9.52,0
8.16,18.74,1
8.17,20.12,1
8.2,13.38,0
8.25,11.42,1
8.25,18.9,0
8.26,3.67,0
8.26,17.52,0
8.27,5.72,0
8.28,14.18,1
8.29,15.84,0
8.29,2.91,0
8.31,6.14,0
8.32,9.2,0
8.33,8.23,0
8.33,14.84,1
8.33,18.11,0
8.34,3.38,0
8.35,19.15,1
8.36,11.8,0
8.37,7.54,0
8.37,7.45,0
8.37,17.13,0
8.38,7.09,0
8.39,17.34,1
8.39,17.76,1
8.4,10.31,0
8.4,11.79,0
8.4,8.74,0
8.4,17.4,0
8.41,19.66,1
8.41,16.51,0
8.42,6.5,0
8.43,13.79,1
8.44,20.72,1
8.45,5.59,0
8.45,18.16,1
8.47,20.78,1
8.47,18.52,0
8.48,9.23,0
8.48,9.77,0
8.49,5.44,0
8.49,6.75,0
8.51,8.4,0
8.52,7.54,0
8.53,8.35,0
8.55,11.68,0
8.55,10.56,0
8.55,18.95,0
8.56,6.62,0
8.57,16.23,0
8.57,17.74,0
8.58,5.82,0
8.58,18.56,0
8.6,8.75,0
8.61,16.39,1
8.62,11.64,0
8.63,7.82,0
8.63,16,0
8.63,18.61,0
8.63,17.11,0
8.63,17.69,0
8.65,10.18,0
8.67,8.16,0
8.67,8.74,0
8.67,20,0
8.68,9.04,0
8.68,6.72,0
8.69,19.33,0
8.71,5.94,0
8.71,14.84,0
8.72,13.4,1
8.72,14.35,0
8.73,16.81,0
8.74,16.14,0
8.74,18.86,0
8.75,14.31,1
8.75,17.05,0
8.76,7.28,0
8.76,5.81,0
8.76,8.96,0
8.77,9.13,0
8.77,4.96,0
8.79,9.41,0
8.8,16.23,0
8.8,11.86,0
8.81,17.77,0
8.82,5.25,0
8.83,11.19,0
8.83,11.59,1
8.84,10.81,0
8.87,4.18,0
8.87,15.95,0
8.88,14.54,0
8.89,9.38,0
8.9,8.93,0
8.9,6.75,0
8.91,8.31,0
8.91,6.01,0
8.91,11.15,0
8.93,15.37,0
8.94,16.14,0
8.95,7.85,0
8.95,7.03,0
8.98,3.98,0
8.98,5.21,0
8.98,17.52,0
9,5.8,0
9,8.07,0
9.01,9.26,0
9.02,19.23,1
9.02,5.73,0
9.05,15.42,0
9.07,13.51,0
9.08,9.03,0
9.08,12.44,1
9.1,3.69,0
9.1,14.12,1
9.1,9.95,0
9.11,17.32,0
9.12,17.73,0
9.13,9.89,0
9.13,13.06,1
9.13,15.38,0
9.14,19.91,0
9.15,13.34,1
9.16,8.64,0
9.16,18.59,0
9.17,19.08,1
9.17,18.77,0
9.18,12.62,0
9.18,18.89,0
9.21,7.66,0
9.22,11.73,0
9.22,17.52,0
9.23,13.85,1
9.25,6.74,0
9.26,5.45,0
9.29,8.93,0
9.29,10.26,0
9.31,11.8,1
9.31,12.41,0
9.31,6.59,0
9.34,21.65,1
9.34,20.16,1
9.35,14.86,1
9.35,13.51,0
9.35,17.31,0
9.36,3.45,0
9.37,20.19,1
9.38,4.82,0
9.38,12.65,1
9.4,6.59,0
9.4,20.43,1
9.41,15.89,0
9.42,6.2,0
9.43,9.84,0
9.43,5.57,0
9.44,15.44,0
9.44,7.58,0
9.46,15.59,0
9.48,14.49,0
9.48,15.61,0
9.49,18.72,0
9.49,18.5,0
9.5,14.05,1
9.53,13.12,1
9.54,17.96,0
9.55,12.17,1
9.55,9.14,0
9.56,11.54,0
9.57,3.67,0
9.57,16.84,0
9.58,14.41,1
9.58,16.44,0
9.58,15.57,0
9.59,7.44,0
9.6,13.32,1
9.6,16.68,0
9.61,18.69,1
9.61,8.78,0
9.61,13.58,0
9.62,8.34,0
9.63,17.88,0
9.64,9.24,0
9.65,5.74,0
9.66,17.66,0
9.67,15.09,0
9.68,13.11,1
9.7,20.54,1
9.7,16.91,0
9.72,6.45,0
9.73,12.39,1
9.73,7.54,0
9.75,15.4,0
9.76,13.06,1
9.76,13.15,0
9.76,8.1,0
9.77,21.28,1
9.77,8.28,0
9.78,18.02,0
9.79,6.73,0
9.79,6.17,0
9.8,10.95,0
9.82,10.5,0
9.83,11.55,0
9.83,6.27,0
9.83,8.5,0
9.83,16.3,0
9.84,11.26,0
9.85,13.61,0
9.86,5.47,0
9.86,5.9,0
9.86,3.54,0
9.89,12.44,1
9.89,18.48,0
9.9,9.69,0
9.9,14.6,1
9.92,7.1,0
9.96,10.72,0
9.96,10.01,0
9.96,15.72,1
9.97,7.9,0
9.97,21.21,1
9.97,3.26,0
9.97,15.5,0
9.97,11.07,0
9.98,19.91,1
9.99,13.94,0
9.99,13.36,0
9.99,14.5,0
9.99,13.85,0
10,20.15,0
10,15.43,0
10.01,3.08,0
10.02,3.01,0
10.02,15.86,0
10.03,7.24,0
10.03,15.17,0
10.03,4.76,0
10.04,14.32,0
10.06,5.4,1
10.07,21.62,0
10.08,18.82,1
10.08,10.19,0
10.09,8,0
10.09,21.27,1
10.09,12.62,0
10.1,6.64,0
10.1,8.86,0
10.11,4.1,0
10.12,16.24,0
10.13,10.76,1
10.13,6.66,1
10.15,7.13,0
10.15,22.26,1
10.15,7.38,0
10.16,8.11,0
10.17,8.06,0
10.17,11.14,0
10.17,17.44,0
10.18,17.65,0
10.19,9.85,0
10.2,12.63,0
10.21,20.31,0
10.24,3.33,0
10.26,10.74,0
10.27,16.15,0
10.28,10.22,0
10.28,6.1,0
10.28,19.5,0
10.29,13.98,1
10.32,16.38,0
10.34,13.01,1
10.34,10.26,1
10.34,18.95,0
10.35,14.95,0
10.37,16.93,0
10.39,7.58,0
10.41,11.78,0
10.41,20.25,0
10.41,16.31,0
10.42,22.88,1
10.43,8.63,0
10.43,10.18,0
10.44,8.58,0
10.44,20.65,1
10.45,9.57,0
10.45,17,0
10.45,18.01,0
10.48,7.9,0
10.49,16.19,0
10.5,19.08,1
10.5,14.37,0
10.5,4.53,0
10.5,19.73,0
10.5,16.06,0
10.52,14.29,0
10.52,14.16,0
10.53,6.82,0
10.53,16.38,0
10.55,8.27,0
10.56,13.61,1
10.57,4.8,0
10.58,16.88,0
10.58,9.3,0
10.59,17.5,0
10.6,5.81,0
10.63,15.98,0
10.65,14.67,0
10.67,8.99,0
10.67,20.51,1
10.7,10.83,1
10.7,7.49,0
10.7,20.09,0
10.71,12.7,1
10.71,14.11,0
10.72,9.68,0
10.72,10.79,0
10.73,17.22,0
10.74,8.98,0
10.74,5.75,0
10.75,10.44,0
10.76,8.51,1
10.76,17.06,0
10.79,4.09,0
10.8,9.97,0
10.8,14.96,0
10.8,19.12,0
10.8,16.21,0
10.82,15.07,0
10.83,17.5,0
10.84,13.56,0
10.85,15.28,0
10.85,8.49,0
10.86,19.3,1
10.9,6.08,1
10.91,10.3,1
10.92,16.83,0
10.92,12.82,0
10.93,5.13,0
10.95,11.43,1
10.96,13.46,0
10.96,7.02,1
10.97,9.25,1
10.98,2.76,0
11,12.43,1
11.02,14.31,0
11.03,6.01,1
11.05,2.46,0
11.05,13.61,0
11.05,17.13,0
11.06,13.94,0
11.07,10.53,0
11.07,10.68,0
11.08,15.8,0
11.08,8.96,0
11.09,15.6,1
11.09,10.28,0
11.1,15.02,0
11.11,5.11,0
11.12,4.94,0
11.14,9.62,1
11.14,12.71,0
11.16,4.21,1
11.16,17.09,0
11.18,5.19,0
11.18,11.19,0
11.19,17.94,0
11.2,10.6,0
11.21,19.32,0
11.22,15.61,0
11.23,9,0
11.23,5.45,0
11.25,13.92,0
11.25,10.59,0
11.26,19.05,1
11.26,14.57,0
11.26,16.7,0
11.26,20.33,0
11.27,19.09,0
11.29,16.43,0
11.29,13.48,0
11.3,11.43,0
11.3,7.1,0
11.3,17.88,0
11.3,15.94,0
11.3,15.71,0
11.34,6.44,0
11.35,13.83,0
11.36,14.52,0
11.37,4.43,0
11.37,16.17,0
11.38,14.43,0
11.38,13.68,0
11.39,15.56,0
11.39,14.31,0
11.4,17.51,0
11.41,12.15,0
11.41,11.2,0
11.41,17.42,0
11.41,15.98,0
11.43,6.84,0
11.44,9.09,0
11.45,14.13,0
11.5,16,0
11.51,14.12,0
11.51,12.84,0
11.52,14.62,0
11.52,5.77,0
11.56,9.83,0
11.57,15.36,0
11.58,13.04,0
11.59,20.27,0
11.6,11.24,0
11.61,6.87,1
11.61,19.43,0
11.62,16.47,0
11.63,11.48,1
11.63,10.48,0
11.64,7.38,0
11.72,6.35,0
11.73,7.25,1
11.75,8.74,0
11.76,16.88,0
11.77,13.95,0
11.78,15.21,0
11.78,9.59,0
11.8,20.74,0
11.81,8.67,1
11.82,4.46,0
11.83,15.78,0
11.84,5.14,0
11.84,15.08,0
11.85,7,1
11.86,17.83,0
11.86,13.91,0
11.88,15.05,0
11.89,16.24,0
11.91,20.94,0
11.91,17.72,0
11.92,13.8,0
11.92,17.6,0
11.94,3.41,0
11.95,11.73,0
11.96,5.55,1
11.96,14.41,0
11.97,14.41,0
11.98,3.09,1
11.98,13.32,1
12.01,20.01,0
12.02,12.28,0
12.02,16.1,0
12.02,16.87,0
12.03,21.45,0
12.04,5.76,1
12.05,15.32,0
12.05,20.88,1
12.05,14.86,0
12.05,9.35,0
12.05,11.4,0
12.06,10.15,0
12.06,13.4,0
12.06,15.34,0
12.07,3.4,0
12.09,14.12,0
12.09,18.08,0
12.1,13.68,1
12.12,17.12,0
12.13,5.47,0
12.13,19.97,0
12.14,10.64,0
12.14,7.62,0
12.14,15.42,0
12.14,17.51,0
12.15,18.82,0
12.17,7.66,0
12.18,12.3,0
12.18,3.55,0
12.18,9.09,0
12.2,4.51,0
12.2,10.42,0
12.21,18.05,0
12.21,9.19,0
12.23,13.74,0
12.23,6.65,0
12.23,16.86,0
12.25,10.39,0
12.26,22.66,0
12.26,21.89,0
12.29,17.43,0
12.29,10.3,0
12.3,11.2,0
12.3,15.45,0
12.3,16.25,0
12.31,13.92,0
12.32,15.81,0
12.33,5.2,0
12.33,13.62,0
12.34,7.24,0
12.34,16.85,0
12.35,14.57,0
12.35,2.42,1
12.36,17.29,0
12.36,19.46,0
12.39,9.64,0
12.42,8.95,0
12.43,8.62,0
12.43,10.96,0
12.43,20.06,0
12.44,18.66,0
12.45,6.99,1
12.45,11.95,0
12.48,12.52,0
12.49,14.52,0
12.5,13.39,0
12.53,18.75,0
12.54,18.74,0
12.55,20.2,1
12.55,16.61,0
12.56,12.58,0
12.58,6.71,0
12.6,11.83,0
12.6,17.1,0
12.6,14.24,0
12.6,15.74,0
12.6,19.33,0
12.62,3.48,1
12.63,24.38,0
12.65,7.85,1
12.65,12.08,0
12.66,14.02,0
12.67,9.23,0
12.68,8.98,0
12.69,6.51,0
12.69,12.37,0
12.71,5.56,0
12.72,12.78,0
12.75,12.56,0
12.75,13.75,0
12.76,5.76,0
12.76,16.14,0
12.78,7.46,0
12.8,14.62,0
12.8,17.53,0
12.84,6.37,0
12.87,14.19,0
12.87,15.43,0
12.88,20.78,0
12.88,9.2,0
12.9,14.63,0
12.92,13.86,0
12.92,9.75,0
12.92,6.81,0
12.93,8.97,0
12.93,16.18,0
12.93,9.08,0
12.94,18.37,0
12.95,2.9,0
12.95,17.91,0
12.96,14.36,0
12.96,12.25,0
12.96,7.86,0
12.97,9.03,0
12.97,7.46,0
12.97,11.44,1
12.99,13.21,0
13.01,9.32,0
13.02,16.76,0
13.02,17.83,0
13.02,11.2,0
13.03,17.08,0
13.05,13.6,0
13.05,11.15,0
13.05,15.05,0
13.07,13.24,0
13.07,11.63,0
13.08,8.89,0
13.09,5.67,0
13.09,15.13,0
13.11,11.8,0
13.13,19.4,0
13.16,16.6,0
13.16,15.6,0
13.17,18.96,0
13.17,16.04,0
13.17,5.85,1
13.19,10.77,1
13.21,12.94,0
13.22,15.76,0
13.23,12.59,0
13.24,16.97,0
13.25,18.72,0
13.25,9.75,1
13.26,7.36,1
13.27,13.62,0
13.29,7.04,1
13.29,17.82,0
13.29,9.14,0
13.3,18.41,0
13.3,12.49,0
13.3,20.58,0
13.31,12.57,0
13.31,11.4,0
13.32,6.3,0
13.33,15.74,0
13.33,11.69,0
13.34,5.77,1
13.35,14.59,0
13.35,12,0
13.37,4.77,0
13.37,15.04,0
13.39,12.54,0
13.41,15.62,0
13.42,3.15,0
13.43,10.06,1
13.43,10.35,0
13.43,6.54,0
13.44,12.59,1
13.44,18.22,0
13.44,7.49,0
13.45,10.57,0
13.46,14.35,0
13.48,7.89,0
13.48,17.16,0
13.49,9.99,0
13.5,5.21,0
13.5,15.95,0
13.51,8.29,1
13.51,15.05,0
13.52,7.09,1
13.53,13.16,0
13.54,11.26,0
13.56,15,0
13.56,5.83,1
13.6,7.64,1
13.6,14.7,0
13.61,14.05,0
13.61,5.31,0
13.62,14.92,0
13.63,10.56,0
13.63,10.71,1
13.63,8.14,1
13.64,15.14,0
13.64,15.58,0
13.64,13.48,0
13.65,16.89,0
13.65,8.46,0
13.67,12.67,0
13.67,7.75,0
13.68,8.92,1
13.68,7.08,0
13.68,13.77,0
13.69,8.52,1
13.7,13.18,0
13.71,11.39,0
13.73,15.67,0
13.74,13.99,0
13.74,3.34,1
13.74,5.82,1
13.75,12.34,0
13.75,3.61,0
13.75,13.97,0
13.77,2.72,0
13.77,10.93,1
13.77,12.28,0
13.81,9.69,1
13.81,17.46,0
13.82,15.42,0
13.83,18.44,0
13.84,15.05,0
13.85,5.1,0
13.86,17.89,0
13.87,12.77,0
13.87,14.74,0
13.88,18.68,0
13.89,12.71,1
13.9,6.47,1
13.9,8.32,1
13.91,13.48,0
13.91,10.66,0
13.93,7.64,1
13.93,4.11,0
13.93,9.88,0
13.94,11.94,1
13.94,3.19,0
13.94,7.13,0
13.95,19.16,0
13.96,16.56,0
13.96,16.26,0
13.96,12.8,0
13.97,5.76,1
13.98,19.52,0
13.98,7.55,0
14,14.41,0
14,13.87,0
14,11.62,0
14.01,13.15,0
14.04,7.67,0
14.05,6.57,0
14.05,12.77,0
14.07,18.97,0
14.07,9.31,0
14.07,13.57,0
14.08,7.89,1
14.09,8.76,1
14.1,13.17,0
14.11,10.07,0
14.12,13.65,0
14.13,9.16,0
14.14,9.13,1
14.15,8.68,0
14.15,10.31,1
14.15,11.88,0
14.15,5.59,0
14.18,13.74,0
14.2,13.34,0
14.2,11.83,0
14.21,10.45,1
14.22,13.82,0
14.22,18.57,0
14.23,4.78,1
14.23,10.31,0
14.24,9.27,0
14.25,8.37,0
14.27,6.55,1
14.27,18.56,0
14.28,14.29,0
14.28,6.21,0
14.29,13.74,0
14.3,12.44,1
14.3,11.67,0
14.31,8.28,1
14.31,6.83,0
14.31,8.9,1
14.32,10.13,1
14.32,6.41,0
14.32,8.23,0
14.33,16,0
14.34,11.78,1
14.35,9.07,0
14.36,12.37,0
14.37,3.58,1
14.37,5.76,0
14.38,6.99,1
14.39,14.77,0
14.39,11.47,0
14.4,16.1,0
14.41,9.54,0
14.42,10.71,0
14.42,7.85,0
14.44,14.54,0
14.44,16.24,0
14.45,16.02,0
14.45,17.84,0
14.45,10.92,0
14.46,8.53,0
14.46,3.84,0
14.47,5.8,0
14.48,8.57,1
14.48,13.99,0
14.48,9.27,0
14.48,9.27,0
14.49,14.77,0
14.49,8.07,0
14.5,13.28,1
14.5,12.18,0
14.5,8.76,0
14.51,11.01,0
14.52,6.21,1
14.52,10.97,1
14.53,7.22,1
14.54,15.11,0
14.54,6.64,1
14.54,9.63,0
14.54,10.49,0
14.56,9.08,1
14.57,8.81,1
14.57,13.48,0
14.57,5.82,1
14.57,7.76,0
14.58,9.83,1
14.58,5.07,1
14.58,16.71,0
14.59,8.97,1
14.59,9.46,0
14.6,13.48,1
14.62,16.46,0
14.62,11.13,0
14.63,11.19,1
14.63,12.69,0
14.64,8.22,1
14.66,8.88,1
14.66,8.31,1
14.67,17.87,0
14.67,18.99,0
14.68,15.76,0
14.69,12.08,0
14.69,8.52,0
14.7,15.97,0
14.7,7.16,1
14.71,14.67,0
14.71,8.76,0
14.73,2.87,1
14.73,12.72,0
14.74,8.88,1
14.76,13.89,0
14.77,8.19,1
14.78,10.65,0
14.8,14.52,0
14.81,13.46,0
14.81,4.61,1
14.82,12.59,0
14.82,5.27,1
14.82,10.59,0
14.84,9.6,1
14.84,22.61,0
14.85,17.2,0
14.86,19.25,0
14.86,7.11,0
14.88,7.44,1
14.88,6.6,1
14.88,9.83,1
14.88,9.39,0
14.89,5.43,1
14.9,3.59,1
14.94,13.98,0
14.95,15.19,0
14.95,9.48,0
14.96,11.79,1
14.97,7.67,1
14.97,6.85,0
14.98,10.95,1
14.98,12.57,1
14.98,14.76,0
14.99,11.09,1
14.99,9.16,0
14.99,12.12,0
15.01,13.73,0
15.02,7.86,1
15.02,3.42,1
15.02,16.54,0
15.02,4.1,1
15.02,15.02,0
15.02,8.94,0
15.03,18.97,0
15.03,16.35,0
15.03,17.43,0
15.04,11.72,0
15.05,10.94,1
15.05,9.41,0
15.09,5.29,1
15.09,10.39,0
15.1,8.4,0
15.12,14.8,0
15.12,9.37,1
15.13,20.6,0
15.13,17.14,0
15.14,11.69,1
15.14,13.54,1
15.15,8.87,1
15.15,6.69,1
15.16,8.17,0
15.17,18.66,0
15.17,8.36,1
15.17,9.43,0
15.18,13.96,0
15.18,18.2,0
15.18,11.34,0
15.19,19.7,0
15.21,6.86,1
15.21,11.73,1
15.21,8.04,1
15.22,15.18,0
15.22,21.14,0
15.23,8.06,0
15.24,12.2,1
15.25,6.77,1
15.26,14.56,1
15.26,9.22,0
15.26,14.29,0
15.27,16.23,0
15.28,17.38,0
15.28,11.53,0
15.29,8.93,0
15.32,4.83,1
15.33,5.31,1
15.33,11.43,0
15.33,19.33,0
15.34,15.52,0
15.35,10.89,0
15.36,10.79,1
15.36,10.51,0
15.37,14.5,0
15.37,6.87,1
15.38,7.34,1
15.38,10.9,0
15.39,14.9,0
15.4,11.72,1
15.4,7.61,0
15.4,12.54,0
15.41,6.16,1
15.41,7.83,1
15.42,9.21,1
15.42,11.6,0
15.43,10.57,1
15.43,6.37,1
15.44,14.58,0
15.44,9.74,1
15.44,8.42,0
15.44,9.52,0
15.46,14.49,0
15.46,11,0
15.46,18.61,0
15.46,16.41,0
15.47,8.64,1
15.49,9.26,1
15.5,12.72,1
15.5,7.02,1
15.52,8.73,0
15.52,16.9,0
15.54,7.83,1
15.54,6.92,1
15.54,9.91,0
15.54,9.05,0
15.55,21.85,0
15.57,15.47,0
15.57,21.24,0
15.58,9.28,0
15.59,7.04,1
15.59,9.15,1
15.6,7.69,1
15.6,16.71,0
15.6,13.4,0
15.6,18.83,0
15.6,9.2,0
15.6,22.74,0
15.61,9.94,1
15.61,12.15,0
15.62,20.59,0
15.63,18.61,0
15.64,7.46,1
15.66,10.56,0
15.67,10.25,1
15.67,10.59,0
15.68,16.21,0
15.69,10.25,0
15.69,11.22,0
15.69,15.19,0
15.69,8.59,0
15.71,3.09,1
15.73,17.38,0
15.73,21.31,0
15.74,6.04,1
15.75,7.19,0
15.75,20.71,0
