顧客ID,性別,高齢者,既婚者,音声通話,インターネット,契約期間,支払方法,国際通話,通話分数_昼,通話回数_昼,通話分数_夕,通話回数_夕,通話分数_夜,通話回数_夜,サービスコール,月間支払額,解約
0118-JPNOY,F,1,0,1,2,0,3,0,8.01,3.42,6.52,2.58,3.92,3.46,0.12,84.37,0
0123-CRBRT,F,0,1,1,1,2,0,0,1.93,1.69,2.74,1.74,3.37,1.67,0.03,90.6,0
0125-LZQXK,M,0,0,1,2,0,1,1,15.79,9.4,17.69,6.73,10.16,5.13,0.07,103.6,1
0129-KPTWJ,M,0,1,1,2,0,1,0,1.85,0.88,2.56,1.71,3.79,1.49,0.01,93.71,0
0129-QMPDR,M,0,1,1,0,1,2,0,5.49,1.98,3.23,2.3,6.57,1.55,0.02,19.66,0
0133-BMFZO,F,0,0,1,2,0,1,1,61.15,41.5,59.4,47,73.95,47.5,1.5,90.85,1
0134-XWXCE,F,1,0,1,1,1,2,0,3.12,2.48,5.4,1.11,4.7,3.09,0.07,74.28,0
0139-IVFJG,F,0,1,1,2,0,1,0,47.05,68,140.15,61,102.5,38.5,0,95.25,0
0142-GVYSN,M,0,0,1,0,0,1,0,7.58,4.54,9.61,2.69,11.5,4,0,19.67,0
0151-ONTOV,F,0,0,1,2,0,0,0,236.2,135,273.9,88,227,77,2,70.9,1
0164-XAIRP,F,0,0,1,0,2,2,0,4.21,4.96,8.93,2.79,7.48,4.67,0.08,19.59,0
0177-PXBAT,M,1,1,1,2,0,2,0,5.94,3.36,6.88,3.27,9.49,3.42,0.06,111.96,0
0178-CIIKR,F,0,0,1,0,0,0,0,40.67,30.67,46.1,38,74.73,42.67,0.33,19.33,0
0181-RITDD,M,0,1,1,2,2,0,0,2.41,1.19,2,1.16,2.81,1.35,0.02,110.09,0
0187-QSXOE,M,1,1,1,2,0,1,0,16.56,12.43,15.9,8,24.31,11,0.14,86.5,0
0187-WZNAB,F,0,1,1,2,0,0,0,4.64,3.11,6.21,4.48,9.65,3.48,0.04,73.05,0
0188-GWFLE,M,0,0,1,0,0,0,0,88.2,57.5,79.4,64,153.3,53.5,2,16.85,0
0191-ZHSKZ,M,1,0,1,1,0,1,0,7.07,4.03,1.04,3.83,9.78,2.6,0.1,70.38,0
0206-OYVOC,F,0,1,1,0,2,0,1,5.52,2.76,3.92,2.35,4.27,2.8,0.07,18.79,0
0206-TBWLC,F,0,1,1,2,1,0,0,4.18,2.2,3.37,2,5.02,1.96,0.06,112.03,0
0207-MDKNV,F,0,0,1,2,0,1,0,12.04,6.13,12.73,7.6,19.71,8.33,0.07,105.52,1
0208-BPQEJ,F,0,1,1,0,0,2,1,14.57,10.58,18.3,7.75,21.32,7.5,0,16.51,0
0215-BQKGS,M,0,0,1,2,0,3,0,5.13,3.8,9.27,4.57,7.61,3.73,0.07,81.29,0
0219-QAERP,M,0,1,1,0,1,3,0,4.56,3.53,7.62,3.5,8.84,3.8,0,19.22,0
0221-NAUXK,M,0,0,1,0,1,2,0,15.53,7.5,16.99,8.7,20.7,13.3,0.2,21.95,0
0221-WMXNQ,M,1,0,1,2,0,1,0,40.65,20.75,38.08,27.25,14.38,30.5,0.25,68.35,0
0224-NIJLP,M,0,1,1,0,2,0,0,20.75,12.75,29.51,12.12,16.79,11.62,0.12,20.69,0
0224-RLWWD,F,1,0,1,1,0,1,0,85.05,62,96.65,58,52.95,36.5,0.5,44.65,0
0225-ZORZP,M,0,0,1,2,0,1,0,50.83,43.67,84.13,35.67,61.8,34.67,0.67,78.37,0
0229-LFJAF,M,0,0,1,1,2,2,0,1.2,1.17,3.32,1.38,3.31,1.1,0.03,68.17,0
0235-KGSLC,F,0,0,1,2,0,3,0,249.8,96,261.9,92,166.8,108,3,85.6,1
0247-SLUJI,M,0,1,1,0,0,0,0,114.3,100,221.1,103,126.3,88,0,19.7,0
0248-PGHBZ,F,1,0,1,2,2,2,0,2.16,1.6,2.69,1.27,3.37,1.4,0.03,91.66,0
0254-FNMCI,F,0,0,1,2,2,1,0,1.75,1.56,3.82,1.75,2.56,1.32,0.01,105.89,0
0254-WWRKD,F,0,1,1,1,1,3,0,2.44,1.55,2.03,1.7,3.72,1.9,0,51.22,0
0256-LTHVJ,F,0,1,1,2,0,1,1,6.12,3.54,5.71,3.68,7.59,3.64,0.04,79.54,1
0257-ZESQC,F,1,1,1,2,0,2,1,4.84,4.19,9.65,4.52,9.04,3.63,0.07,71.46,1
0258-NOKBL,M,0,0,1,2,0,1,0,44.77,32.67,67.43,36.33,65.3,33.33,0.67,89.5,0
0260-ZDLGK,F,0,0,1,1,0,0,0,25.1,9.56,30.62,11.67,22.38,12,0.33,72.38,1
0264-CNITK,F,0,1,1,0,2,2,0,2.24,1.46,3.8,1.49,3.1,1.63,0.01,19.57,0
0265-PSUAE,F,0,1,1,2,0,2,0,10.99,6.56,11.77,5.5,11.77,6.12,0.06,95.17,0
0268-QKIWO,F,0,0,1,0,0,1,1,115.1,27,67.8,35.33,72.5,35.67,0.33,19.63,1
0277-BKSQP,M,0,1,1,1,0,1,0,24.12,12.38,28.1,10.88,24.7,11.38,0.25,59.39,0
0278-YXOOG,M,0,0,1,0,0,0,0,12.32,23.4,15.42,17,34.6,19.8,0.8,22.78,1
0281-CNTZX,M,0,1,1,0,2,2,0,3.69,1.17,2.89,2.25,3.22,1.37,0.06,19.6,0
0285-INHLN,M,0,1,1,1,0,3,0,2.18,3.85,8.13,3.96,5.64,4.37,0,55.94,0
0289-IVARM,F,0,0,1,1,0,1,0,6.29,3.26,5.93,2.17,4.81,3.91,0.06,56.65,0
0295-QVKPB,M,0,0,1,1,0,3,0,38.82,24.2,35.32,22,60.56,27.2,0.4,63.62,0
0297-RBCSG,M,0,0,1,1,1,2,0,7.46,6.37,12.23,5.95,11.69,6.89,0.05,64.84,0
0301-KOBTQ,M,0,0,1,0,2,2,0,4.32,3.62,7.38,4.31,5.6,3.44,0.09,19.2,0
0303-UNCIP,M,0,0,1,1,1,0,0,3.15,2.51,4.95,2.17,5.68,3.07,0.05,61.75,0
0303-WMMRN,M,0,0,1,0,0,0,0,17.94,16,35.96,16.2,29.14,24,0.4,17.22,0
0306-JAELE,M,0,0,1,2,0,1,0,52.96,24.8,49.08,22.4,32.1,23,0.2,90.68,1
0307-BCOPK,F,0,0,1,0,1,0,0,11.93,6.25,16.33,5.81,13.09,6.75,0,20.42,0
0310-SUCIN,F,0,1,1,1,1,2,0,2.24,1.49,2.11,1.42,3.01,1.52,0.01,85.16,0
0310-VQXAM,M,0,0,1,0,0,0,0,13.19,10,22.79,6.33,19.13,11.11,0.33,19.87,0
0311-QYWSS,F,0,0,1,1,0,1,0,26.92,20.5,35.7,13.5,52.5,17.67,0.17,52.43,0
0311-UNPFF,F,0,0,1,2,0,2,0,10.74,4,7.75,3.35,10.8,3.81,0.08,87.48,1
0314-TKOSI,F,0,0,1,1,0,0,0,25.7,19.83,18.37,16.33,37.9,19.5,0.33,53.82,0
0315-LVCRK,M,0,0,1,2,0,1,0,19.25,10.45,23.68,9.27,13.11,8.73,0,80.8,0
0318-ZOPWS,F,0,1,1,0,2,2,0,4.49,1.63,4.43,2.08,3.12,1.45,0.06,19.87,0
0319-QZTCO,F,0,1,1,1,0,3,0,47.7,29.33,78.87,21.67,75.93,40,0.67,56.2,0
0320-DWVTU,F,0,0,1,2,2,0,0,1.98,2.09,3.75,2.26,4.87,1.72,0.04,102.35,0
0320-JDNQG,M,0,1,1,2,0,1,0,12.6,4.39,11.11,5,10.56,3.3,0.09,101.36,1
0322-CHQRU,M,0,0,1,1,0,1,1,111.2,39,163.5,55.5,104,52,0.5,44.75,1
0322-YINQP,M,0,0,1,1,0,0,0,134.4,106,211.3,98,193.6,125,5,48.6,1
0323-XWWTN,M,0,0,1,0,2,0,0,45.7,29.33,51.9,41.67,82.53,31.33,0.67,40.43,0
0330-IVZHA,F,0,1,1,2,0,1,0,30.68,18,30.28,19.4,30.76,19.4,0.8,66.04,1
0336-PIKEI,M,1,1,1,1,2,2,0,1.54,0.71,3.05,1.17,2.81,1.24,0.01,74.46,0
0347-UBKUZ,F,0,0,1,0,0,0,0,13.71,8.2,14.3,7.2,15.07,7.07,0.07,21.37,0
0354-VXMJC,M,0,1,1,0,2,3,0,4.24,4.26,4.59,5.13,9.57,4.57,0.04,18.55,0
0354-WYROK,F,1,1,1,2,0,1,0,5.38,1.97,5.78,2.84,7.83,4.23,0.13,93.91,1
0356-ERHVT,M,0,1,1,1,0,2,0,20.24,7.36,17.3,9.91,18.29,7.91,0.09,47.45,0
0356-OBMAC,F,1,0,1,2,2,2,0,4,1.77,3.76,1.43,4.14,1.34,0,101.9,0
0357-NVCRI,F,0,0,1,0,0,3,0,8.42,4.68,6.57,4.12,8.06,2.72,0,18.87,0
0362-RAOQO,F,0,0,1,0,2,3,0,2.57,1.85,7.04,3.12,5.7,2.83,0.05,20.76,0
0365-GXEZS,M,0,1,1,2,0,1,0,9.14,6.11,15.03,5.72,12.8,6.06,0,81.6,0
0366-NQSHS,M,0,0,1,0,0,0,0,91.9,55.5,61.75,46,80.35,52.5,0.5,23.2,0
0369-ZGOVK,F,0,1,1,2,1,2,0,5.88,2.68,5.28,4.21,9.03,3.46,0,71.15,0
0374-AACSZ,F,0,0,1,1,0,1,0,145.5,116,228.4,110,273.4,91,1,50.2,0
0374-FIUCA,M,0,1,1,0,2,3,0,3.18,1.38,3.58,1.28,2.65,1.66,0.05,21.76,0
0374-IOEGQ,F,0,0,1,1,0,1,0,67.17,41,43.07,36.67,73.53,32.67,0.33,40.9,0
0376-OIWME,M,0,1,1,2,0,1,0,4.39,2.86,7.21,2.5,6.39,3.25,0,93.5,0
0377-JBKKT,M,0,1,1,1,0,0,0,9.78,6.36,8.97,3.14,7.37,5.32,0.05,57.81,0
0379-DJQHR,M,0,1,1,1,2,3,0,2.24,1.63,3.95,1.54,2.66,1.45,0.01,80.58,0
0380-NEAVX,M,1,0,1,2,1,1,0,6.35,3.12,5.9,3.15,5.75,3.15,0,98.33,0
0380-ZCSBI,M,0,0,1,0,0,3,0,20.8,12.5,19.89,7.6,7.64,9.7,0,19.87,0
0384-RVBPI,M,0,0,1,1,0,3,1,10.86,6.9,7.28,5.55,14.04,3.8,0,69.93,0
0386-CWRGM,F,0,1,1,0,2,0,0,3.48,2.26,4.12,1.39,5,2.57,0.02,21.04,0
0388-EOPEX,F,0,1,1,2,0,1,0,48.3,29.5,157.7,49,81.65,58.5,2,69.7,1
0390-DCFDQ,F,1,1,1,2,0,0,0,237.9,125,247.6,93,208.9,68,1,70.5,1
0392-BZIUW,F,0,1,1,2,2,3,0,2.22,1.85,2.99,1.36,2.62,1.21,0,105.41,0
0396-HUJBP,F,0,0,1,0,0,0,0,67.95,30,116.6,39,105.3,60.5,0.5,22.2,0
0396-UKGAI,M,0,0,1,1,0,2,0,10.16,4.96,9.04,4.74,9.25,4.39,0.09,55.83,0
0397-ZXWQF,M,0,0,1,0,2,2,0,2.55,1.51,3.59,1.22,1.78,1.67,0.03,21.36,0
0404-AHASP,M,0,1,1,0,2,3,0,0.87,1.12,3.21,0.89,2.35,1.68,0.01,19.75,0
0410-IPFTY,F,0,1,1,2,0,2,0,7.82,3.55,5.24,4.52,5.94,2.77,0.13,86.26,0
0412-UCCNP,M,0,0,1,1,2,1,0,2.34,2.29,2.14,1.71,3.61,2.4,0,57.74,0
0415-MOSGF,F,0,0,1,1,0,0,0,228.6,117,132.8,123,227.2,124,9,44.4,1
0419-YAAPX,M,0,1,1,2,0,3,0,3.46,2.27,2.85,1.41,4.02,1.78,0,87.71,0
0422-OHQHQ,F,0,1,1,0,1,0,0,4.31,6.53,11.74,5.73,16.32,5.6,0.13,19.73,0
0423-UDIJQ,M,1,0,1,1,0,0,0,25.04,8.78,20.79,12.44,31.23,12.44,0.11,49.77,0
0426-TIRNE,F,0,0,1,0,0,0,0,288.8,86,175.9,87,215.4,106,0,20.9,1
0428-AXXLJ,M,0,0,1,0,1,2,0,8.13,3.96,9.43,5.24,9,4.48,0.08,20.65,0
0428-IKYCP,M,0,1,1,2,0,2,0,10.02,4.27,10.89,5.73,11.56,4.95,0.09,84.12,0
0431-APWVY,F,0,1,1,2,1,2,0,10.85,3.79,8.29,1.93,5.25,2.71,0.04,92.82,1
0432-CAJZV,M,0,0,1,2,0,0,0,94.4,43.33,54.2,24.67,59.23,34.67,0.33,79.23,0
0434-CSFON,F,0,1,1,2,0,1,0,5.59,2.43,4.59,2.77,3.29,1.87,0,100.15,0
0439-IFYUN,F,1,0,1,2,0,1,0,9.69,5.44,10.01,5.72,9.94,4.94,0.11,71.92,0
0440-EKDCF,M,0,1,1,1,2,3,0,2.24,1.05,3.37,1.76,3.75,1.32,0.03,60.54,0
0440-UEDAI,F,0,0,1,2,1,3,0,4.53,2.17,3.4,1.72,2.52,2.3,0.06,95.15,0
0442-TDYUO,M,0,1,1,0,2,0,0,3.19,2.12,4.88,1.6,6.86,1.54,0.06,21.58,0
0454-OKRCT,M,0,0,1,2,2,2,0,5.43,2.33,6.38,3,8.39,1.76,0.06,80.34,0
0455-XFASS,F,0,1,1,2,0,1,0,19.83,34.33,85.73,35.33,69.43,28.67,0,66.73,0
0459-SPZHJ,M,0,1,1,1,2,3,0,3.36,0.63,4.36,1.21,3.34,2.21,0.02,86.27,0
0461-CVKMU,F,0,1,1,2,0,1,0,10.66,3.96,9.44,4,10.57,5.57,0,82.62,1
0463-WZZKO,M,0,0,1,0,0,3,0,81.63,50,39.33,46,78.67,30.33,0.67,22.37,0
0463-ZSDNT,M,0,0,1,1,0,2,0,12.78,6.7,18.16,11.2,19.73,6.3,0.2,50.33,0
0464-WJTKO,F,0,1,1,0,2,2,1,3.27,1.82,2.71,1.49,2.37,1.29,0.01,20.29,0
0468-YRPXN,M,0,0,1,2,0,3,0,5.26,3.34,7.2,2.93,4.11,3.41,0.03,96.8,0
0479-HMSWA,F,0,0,1,2,2,1,0,5.1,3.62,7.87,3.88,5.95,3,0.12,104.43,0
0480-BIXDE,F,0,1,1,2,0,1,0,9.24,4.53,10.79,4.11,12.91,5.26,0.21,91.74,0
0484-FFVBJ,M,0,0,1,1,1,2,0,6.78,2.88,6.9,4.19,7.8,2.91,0.06,62.84,0
0486-LGCCH,M,0,1,1,0,2,0,0,19.82,7.82,16.73,8.55,21.86,10,0.27,20.53,0
0487-CRLZF,F,0,0,1,1,2,2,0,3.62,1.86,4.67,2.14,3.97,2.31,0.04,75.96,0
0487-VVUVK,M,0,1,1,0,0,0,0,5.79,3.36,6.6,5.64,9.26,3,0.08,19.1,0
0489-WMEMG,F,0,0,1,1,1,1,0,5.43,4.96,5.78,5.26,6.97,3.7,0.13,48.67,0
0495-RVCBF,F,0,0,1,2,0,1,0,279.5,118,203.2,113,174.2,101,2,79.7,1
0496-AHOOK,M,0,1,1,1,1,2,0,4.08,4.12,10.03,2.58,10.62,5.12,0,71.37,0
0505-SPOOW,F,0,1,1,0,2,2,0,2.78,1.34,2.67,1.36,3.19,1.29,0.04,19.97,0
0506-LVNGN,F,1,0,1,2,0,3,0,28.64,16,17.62,18.8,46.64,27,0.8,69.94,1
0506-YLVKJ,M,0,1,1,0,2,0,0,4.46,2.5,4.02,2.98,3.83,2.5,0,19.95,0
0508-OOLTO,F,0,1,1,2,0,1,0,74.3,53,105.4,32.5,101.85,43,1,67.9,0
0508-SQWPL,F,0,1,1,0,2,2,0,2.45,1.61,4.39,2.02,2.77,1.39,0.02,19.08,0
0513-RBGPE,M,0,1,1,1,2,3,1,6.39,2.46,4.13,3.51,4.33,2.65,0.08,61.59,0
0516-OOHAR,M,0,1,1,2,1,2,0,7.08,2.86,6.68,3.18,4.77,3.43,0.07,99.96,0
0516-QREYC,F,1,0,1,0,0,0,0,7,4.83,8.02,3.92,6.94,4.08,0.08,19.17,0
0516-UXRMT,F,0,0,1,2,1,1,0,3.75,1.55,4.09,1.89,2.48,1.63,0.02,92.84,0
0516-VRYBW,F,0,0,1,0,1,2,0,7.28,7.17,8.92,5.22,11.49,4.89,0.28,21.72,1
0516-WJVXC,F,0,0,1,1,0,1,0,64.48,18.4,56.64,21.4,41.9,22.2,0.2,61.66,1
0519-DRGTI,F,0,1,1,0,0,0,1,5.33,3.8,7.37,4.45,11.79,5.65,0.1,22.13,0
0536-BGFMZ,F,0,1,1,0,0,0,0,6.95,3,4.28,3.68,6.27,2.68,0.07,20.11,0
0536-ESJEP,M,0,1,1,1,2,2,0,2.84,1.72,4.02,1.63,2.99,1.69,0.04,77.62,0
0541-FITGH,F,0,1,1,1,0,0,0,101.7,40.5,83.85,55,66,62,1,56.55,0
0547-HURJB,M,0,0,1,0,0,3,0,17.31,7.08,16.39,9.33,21.81,6.92,0.08,19.65,0
0550-DCXLH,M,0,0,1,1,0,0,0,17.95,5,16.14,7.15,16.2,8.38,0.08,71.66,0
0556-FJEGU,M,0,0,1,1,2,2,0,3.56,1.59,3.04,2.62,4.01,1.98,0.09,69.81,0
0557-ASKVU,F,0,1,1,1,1,3,0,10.17,6.22,4.05,5.5,10.1,4.33,0,53.17,0
0559-CKHUS,F,0,1,1,0,2,0,0,4.79,3.83,7.3,3.52,6.19,3.14,0.03,17.99,0
0567-GGCAC,F,0,0,1,1,0,1,0,16.59,14.43,28.83,14.14,25.99,14.71,0,62.7,0
0570-BFQHT,F,0,0,1,2,0,1,0,17.18,12.44,20.47,11.67,24.16,11.33,0.22,72.66,0
0575-CUQOV,M,1,1,1,2,1,1,0,2.43,1.7,3.85,1.45,3.02,1.43,0.02,97.78,0
0578-SKVMF,F,0,1,1,2,0,1,0,10.44,3.55,9.35,4.91,7.55,4.14,0,83.9,1
0581-BXBUB,F,1,0,1,2,0,1,0,49.8,27.75,43.77,20.75,52.65,21,0.75,79.45,0
0582-AVCLN,F,0,0,1,0,2,0,0,5.31,2.45,4.11,1.97,3.46,2.42,0,19.56,0
0585-EGDDA,M,0,1,1,2,0,1,0,6.09,3.1,1.5,2.25,4.72,3.23,0,79.22,0
0587-DMGBH,F,0,0,1,1,0,1,0,31.89,15.5,28.82,13.75,27.25,8.62,0.38,45.7,1
0594-UFTUL,M,0,1,1,0,0,0,0,13.03,7.85,14.22,11.08,18.02,6.85,0.08,19.38,0
0596-BQCEQ,F,0,1,1,2,0,1,0,4.75,1.61,3.75,0.85,3.15,1.03,0,101.34,1
0599-XNYDO,F,0,1,1,2,0,2,0,8.19,3.9,5.66,5.6,6.7,5.9,0.15,77.02,0
0602-DDUML,F,0,0,1,1,2,0,0,3.4,2.07,4.25,2,2.57,1.89,0.02,68.32,0
0603-OLQDC,M,0,0,1,1,0,0,0,17.48,10.83,16.38,7,19.42,6.58,0.08,69.79,0
0604-THJFP,F,0,1,1,1,2,3,0,3.68,1.29,3.48,1.69,3.15,1.54,0.03,76.99,0
0608-JDVEC,M,0,1,1,0,2,1,0,3.97,2.54,4.98,2.1,3.46,2.48,0.02,20.26,0
0611-DFXKO,M,0,1,1,2,0,0,0,8.39,3.6,10.55,4.95,7.67,5.45,0.2,91.03,1
0613-WUXUM,F,0,1,1,0,2,0,0,2.97,0.99,1.36,1.34,2.55,1.84,0.01,20.02,0
0618-XWMSS,M,0,0,1,2,0,2,0,4.23,4.5,8.9,3.46,8.11,2,0.18,73.88,1
0619-OLYUR,M,0,1,1,2,2,3,0,3.34,1.81,2.26,1.15,3.22,1.89,0,112.1,0
0620-DLSLK,F,0,0,1,2,0,0,0,23.04,6.38,12.57,6.46,11.28,6.77,0,79.15,0
0620-XEFWH,M,0,1,1,0,0,0,0,50.02,27,47.23,30.5,51.27,22.5,0,21.05,0
0621-CXBKL,F,0,0,1,0,2,0,0,2.82,2.11,3.07,2.23,4.16,2.17,0.06,18.98,0
0621-HJWXJ,F,0,1,1,2,0,2,0,3.65,1.71,4.57,1.21,2.81,1.35,0.03,79.83,0
0621-TSSMU,M,0,1,1,0,1,3,0,1.49,1.32,3.4,1.86,2.69,1.41,0.02,20.12,0
0621-TWIEM,M,0,0,1,1,0,1,0,24.52,8.7,25.41,8.3,23.94,9.1,0,40.26,1
0623-GDISB,F,0,0,1,1,0,2,0,159.1,100,202.5,90,233.1,96,2,48.5,0
0625-AFOHS,F,0,1,1,0,2,0,0,6.35,3.83,10.78,3.07,9.1,1.9,0.03,19.27,0
0640-YJTPY,M,0,1,1,0,2,2,0,2.5,1.47,1.77,1.28,3.3,1.64,0,20.75,0
0641-EVBOJ,M,0,0,1,2,0,0,0,24.27,35.67,62.13,34.33,58.43,36.67,1,71.47,0
0644-OQMDK,M,1,0,1,2,0,1,0,58.23,22.5,38.02,23.5,86.08,20.5,0.25,73.47,0
0650-BWOZN,F,1,0,1,2,0,1,0,8.36,5.11,6.68,5.28,15.07,5.33,0.06,75.53,0
0654-PQKDW,F,0,1,1,1,1,2,1,1.51,1.81,2.96,2.06,3.88,2.15,0,68.77,0
0655-YDGFJ,M,0,0,1,1,0,2,0,8.13,2.72,4.72,2.93,7.62,3.34,0.03,45.64,0
0661-KQHNK,F,0,1,1,0,1,3,0,25.95,17.33,30.9,19.67,32.12,19.33,0.5,17.58,0
0661-WCQNQ,M,0,1,1,1,1,3,0,4.55,2.45,11.2,4.41,11.59,5.95,0,58.74,0
0666-UXTJO,M,1,1,1,2,0,3,0,4.81,2.44,7.33,3.5,7.34,2.65,0.21,84.54,0
0670-KDOMA,F,0,0,1,0,0,0,0,231.9,56,211.8,91,268.5,74,2,20.3,0
0673-IGUQO,M,0,0,1,0,0,0,0,179.2,111,175.2,130,228.6,92,2,20.5,0
0674-EYYZV,F,0,0,1,1,0,1,0,137.8,95,235.5,128,268.1,70,2,54.7,0
0678-RLHVP,F,0,0,1,2,2,1,0,3.1,2.09,4.13,1.81,4.16,2.04,0,107.21,0
0679-IDSTG,F,1,1,1,2,0,1,0,137.8,120,225.8,110,145.2,95,1,69.3,1
0679-TDGAK,M,0,1,1,1,1,1,0,1.9,1.88,5.82,1.46,3.19,2.28,0.04,80.51,0
0682-USIXD,F,0,1,1,2,0,1,0,9.06,5.48,12.22,3.71,10.23,6.9,0.05,86.61,0
0684-AOSIH,M,0,1,1,2,0,1,0,174.7,151,148,56,168.2,109,6,95,1
0689-DSXGL,F,0,1,1,2,0,2,0,3.55,2.27,4.31,1.83,3.47,1.58,0.02,85.26,0
0689-NKYLF,M,0,0,1,2,0,1,0,24.98,3.69,18.18,6.31,14.43,6,0,81.58,1
0690-SRQID,M,0,0,1,0,0,0,0,47.73,15.5,56.65,13.25,57.52,24,0.5,16.9,0
0691-JVSYA,F,0,1,1,2,1,2,0,4.75,1.36,3.88,2.38,5.19,2.06,0.04,94.34,1
0696-UKTOX,M,0,0,1,1,0,1,0,5.86,4.09,8.87,4.61,10.37,4.74,0.04,57.07,0
0701-TJSEF,M,0,0,1,1,0,2,0,20.78,7.22,15.71,14.22,26.47,12,0.22,64.11,0
0704-VCUMB,F,0,1,1,0,2,3,0,2.89,1.79,2.61,1.33,4.41,1.54,0,20.96,0
0722-SVSFK,F,0,0,1,2,0,1,0,17.54,12.71,30.19,14.86,37.34,13,0.29,102.14,0
0730-KOAVE,M,0,0,1,2,0,3,0,5.96,2.7,7.79,2.47,4.4,4,0.03,89.32,0
0731-EBJQB,F,0,1,1,0,1,1,0,3.65,2.1,4.97,1.62,3.49,1.96,0,20.98,0
0732-OCQOC,F,0,1,1,0,2,2,0,3.11,1.92,4.42,2.65,2.86,1.5,0.06,24.43,0
0734-OXWBT,M,0,0,1,1,0,0,0,73.07,34,68.67,36.33,64.13,39,0.33,75.23,0
0742-LAFQK,M,0,1,1,2,2,1,0,2.18,1.61,2.74,1.07,1.78,1.54,0.03,103.08,0
0742-MOABM,M,0,1,1,1,0,0,0,81.62,16.75,44.08,28.25,45.42,25.5,0.5,44.85,1
