"gender","age","height","weight"
"M",17,161,52
"M",17,176,63
"F",17,168,61
"M",17,169,71
"M",17,166,49
"M",17,169,71
"F",17,162,64
"F",17,159,75
"F",17,166,56
"F",17,159,59
"F",17,163,51
"F",17,162,55
"F",17,167,74
"F",17,159,57
"M",17,172,58
"F",17,159,55
"M",17,175,69
"F",17,154,52
"F",17,170,59
"M",17,168,51
"M",17,163,58
"F",17,159,50
"M",17,178,65
"F",17,154,73
"M",17,166,61
"M",17,163,51
"M",17,172,71
"M",17,173,62
"F",17,158,56
"F",17,159,58
"M",17,171,52
"M",17,168,63
"F",17,156,67
"M",17,169,73
"M",17,171,73
"M",17,168,43
"F",17,154,61
"F",17,156,51
"F",17,161,55
"M",17,178,61
"F",17,163,54
"F",17,150,51
"M",17,166,82
"F",17,158,63
"F",17,159,50
"F",17,151,56
"M",17,181,67
"F",17,148,43
"M",17,170,61
"M",17,164,54
"M",17,173,69
"F",17,160,72
"F",17,158,62
"M",17,174,60
"F",17,162,68
"F",17,163,43
"F",17,158,57
"M",17,166,64
"F",17,146,34
"F",17,159,47
"F",17,146,47
"M",17,167,59
"F",17,152,44
"F",17,160,51
"F",17,166,59
"F",17,148,55
"M",17,158,46
"M",17,176,67
"M",17,170,58
"F",17,168,55
"F",17,150,43
"F",17,164,67
"F",17,171,68
"F",17,164,55
"M",17,166,53
"F",17,147,47
"F",17,155,48
"F",17,159,65
"M",17,167,59
"F",17,146,54
"F",17,162,48
"M",17,171,56
"M",17,177,59
"F",17,152,49
"M",17,179,68
"M",17,172,66
"M",17,173,70
"M",17,184,62
"F",17,156,46
"F",17,159,52
"F",17,159,83
"M",17,169,54
"F",17,157,43
"M",17,170,62
"F",17,160,56
"F",17,158,54
"M",17,172,56
"F",17,158,50
"F",17,150,59
"M",17,170,54
"F",17,157,49
"M",17,166,78
"F",17,163,73
"F",17,166,62
"F",17,162,44
"F",17,149,52
"F",17,158,54
"F",17,172,51
"F",17,150,40
"F",17,159,59
"M",17,180,71
"M",17,167,54
"M",17,172,48
"M",17,175,64
"M",17,181,73
"M",17,161,52
"M",17,174,72
"F",17,150,35
"F",17,157,53
"M",17,187,75
"M",17,159,56
"M",17,173,77
"F",17,151,40
"M",17,177,74
"M",17,173,65
"M",17,181,98
"F",17,164,48
"M",17,174,64
"F",17,154,53
"M",17,175,61
"F",17,164,56
"F",17,147,48
"F",17,156,50
"M",17,170,64
"F",17,150,39
"M",17,172,60
"M",17,175,52
"F",17,160,43
"F",17,146,47
"M",17,159,49
"F",17,157,45
"M",17,176,72
"M",17,168,50
"M",17,171,71
"M",17,176,62
"M",17,179,75
"M",17,174,67
"M",17,176,57
"F",17,165,66
"F",17,149,46
"M",17,169,48
"M",17,175,57
"F",17,155,43
"F",17,159,53
"M",17,171,55
"F",17,152,48
"M",17,171,56
"F",17,156,46
"M",17,170,62
"M",17,167,52
"M",17,172,71
"M",17,168,59
"F",17,163,60
"F",17,158,56
"M",17,167,46
"M",17,171,77
"F",17,155,52
"F",17,154,82
"F",17,151,56
"F",17,157,55
"M",17,170,67
"F",17,171,63
"F",17,156,47
"F",17,166,50
"F",17,156,58
"M",17,175,59
"F",17,154,43
"M",17,175,56
"M",17,170,54
"F",17,157,50
"M",17,164,76
"M",17,167,51
"F",17,156,51
"F",17,159,65
"F",17,160,50
"M",17,167,52
"F",17,159,56
"M",17,176,53
"M",17,175,56
"M",17,173,79
"M",17,170,55
"F",17,156,50
"F",17,157,54
"F",17,151,38
"M",17,178,60
"M",17,178,67
"F",17,161,59
"F",17,157,68
"F",17,152,42
"M",17,171,60
"M",17,174,56
"M",17,166,73
"F",17,159,59
"F",17,158,59
"F",17,158,44
"F",17,156,52
"F",17,160,55
"M",17,165,55
"F",17,165,46
"F",17,153,39
"M",17,172,56
"F",17,168,54
"F",17,158,52
"F",17,157,50
"F",17,156,57
"F",17,159,69
"F",17,157,46
"F",17,156,56
"M",17,180,66
"F",17,161,50
"F",17,156,60
"F",17,158,51
"M",17,164,61
"F",17,152,52
"M",17,173,58
"F",17,154,42
"M",17,165,91
"M",17,169,58
"F",17,160,68
"F",17,158,49
"F",17,158,53
"M",17,166,47
"F",17,168,71
"F",17,155,58
"F",17,156,46
"M",17,176,58
"M",17,186,59
"M",17,171,62
"M",17,170,59
"F",17,161,65
"F",17,148,52
"F",17,151,51
"F",17,155,48
"F",17,161,55
"F",17,159,52
"F",17,165,62
"M",17,171,99
"F",17,157,56
"M",17,169,65
"F",17,152,50
"M",17,186,86
"M",17,172,97
"M",17,181,72
"F",17,154,55
"M",17,172,64
"F",17,152,40
"M",17,161,60
"F",17,152,47
"M",17,175,63
"F",17,155,52
"F",17,154,47
"F",17,158,48
"F",17,164,49
"M",17,179,62
"M",17,171,58
"F",17,155,36
"F",17,162,50
"M",17,168,59
"F",17,151,43
"F",17,169,58
"F",17,164,42
"M",17,178,77
"M",17,168,69
"M",17,162,65
"F",17,155,54
"F",17,166,60
"F",17,158,51
"F",17,157,52
"M",17,168,56
"M",17,168,57
"F",17,156,57
"M",17,178,83
"M",17,176,64
"M",17,168,59
"M",17,159,53
"F",17,152,54
"F",17,165,58
"F",17,156,46
"M",17,169,63
"M",17,162,52
"F",17,160,52
"M",17,177,77
"M",17,160,48
"F",17,160,56
"F",17,159,54
"M",17,160,54
"M",17,167,67
"F",17,156,61
"F",17,158,50
"M",17,158,57
"M",17,157,52
"M",17,172,53
"M",17,162,56
"M",17,158,48
"F",17,166,58
"M",17,176,55
"F",17,164,55
"M",17,157,47
"F",17,160,44
"M",17,168,55
"F",17,158,42
"F",17,161,62
"F",17,163,50
"F",17,160,52
"M",17,171,70
"M",17,175,70
"M",17,175,61
"M",17,176,64
"F",17,160,55
"F",17,156,49
"F",17,160,53
"M",17,177,64
"M",17,169,59
"F",17,168,62
"F",17,166,56
"M",17,172,59
"F",17,156,61
"M",17,167,73
"M",17,172,68
"M",17,175,62
"F",17,157,45
"F",17,151,50
"M",17,167,63
"F",17,157,57
"F",17,162,71
"F",17,161,53
"F",17,158,54
"F",17,159,60
"F",17,155,52
"F",17,158,48
"M",17,170,67
"F",17,161,51
"F",17,155,52
"M",17,166,60
"F",17,166,48
"F",17,162,44
"M",17,169,61
"F",17,152,45
"M",17,176,57
"F",17,167,76
"F",17,158,53
"M",17,168,56
"F",17,153,43
"F",17,159,54
"M",17,175,63
"F",17,159,56
"M",17,177,64
"M",17,175,46
"M",17,173,58
"M",17,169,63
"M",17,169,54
"F",17,153,45
"F",17,160,59
"M",17,176,58
"F",17,155,50
"M",17,161,40
"M",17,164,41
"F",17,160,68
"F",17,151,53
"M",17,167,54
"F",17,157,50
"M",17,170,51
"F",17,156,51
"M",17,176,56
"M",17,166,68
"M",17,172,76
"M",17,175,77
"F",17,153,48
"M",17,189,74
"M",17,176,62
"F",17,160,48
"M",17,168,50
"F",17,155,50
"M",17,171,45
"F",17,154,47
"M",17,170,63
"F",17,158,53
"M",17,170,73
"F",17,156,52
"M",17,156,50
"F",17,157,49
"M",17,162,61
"F",17,144,58
"F",17,151,48
"F",17,159,48
"M",17,161,56
"M",17,166,63
"F",17,151,50
"F",17,155,47
"M",17,172,56
"F",17,158,53
"M",17,178,59
"M",17,170,52
"M",17,176,60
"M",17,169,48
"F",17,161,53
"M",17,174,67
"F",17,156,47
"F",17,149,48
"M",17,163,52
"F",17,157,49
"M",17,168,80
"F",17,165,60
"F",17,155,50
"M",17,169,76
"F",17,157,50
"F",17,159,52
"F",17,161,49
"M",17,171,63
"F",17,162,54
"M",17,176,63
"F",17,158,59
"M",17,168,54
"F",17,163,63
"F",17,153,49
"M",17,173,60
"F",17,157,55
"M",17,170,79
"F",17,147,40
"F",17,154,65
"F",17,166,63
"F",17,152,45
"F",17,157,55
"F",17,157,54
"M",17,165,53
"M",17,174,68
"M",17,174,66
"F",17,160,56
"F",17,159,55
"M",17,171,57
"M",17,166,54
"F",17,154,71
"F",17,164,54
"M",17,182,70
"F",17,161,56
"M",17,179,61
"F",17,157,49
"F",17,153,49
"M",17,174,60
"M",17,182,67
"M",17,167,67
"M",17,166,57
"M",17,168,54
"F",17,162,44
"F",17,159,52
"M",17,177,65
"M",17,164,60
"F",17,167,69
"F",17,156,63
"F",17,155,54
"F",17,150,51
"M",17,182,74
"M",17,162,47
"F",17,159,60
"F",17,155,55
"M",17,162,70
"M",17,161,55
"M",17,174,58
"M",17,170,65
"M",17,177,77
"M",17,177,62
"F",17,153,47
"F",17,163,57
"M",17,184,62
"F",17,162,61
"M",17,174,53
"F",17,157,48
"F",17,153,48
"M",17,170,70
"F",17,164,57
"M",17,163,66
"M",17,182,67
"M",17,177,56
"F",17,158,48
"F",17,157,54
"M",17,164,51
"M",17,170,56
"M",17,161,57
"F",17,162,59
"M",17,166,57
"F",17,165,57
"M",17,157,62
"M",17,185,91
"M",17,173,57
"M",17,177,74
"F",17,161,47
"M",17,168,79
"M",17,171,60
"M",17,175,62
"F",17,164,53
"F",17,157,47
"F",17,159,52
"M",17,177,68
"F",17,155,56
"M",17,177,87
"F",17,156,47
"M",17,165,60
"F",17,161,48
"F",17,154,44
"M",17,165,50
"M",17,175,69
"F",17,161,67
"F",17,158,50
"F",17,160,67
"F",17,150,63
"F",17,160,61
"M",17,165,68
"M",17,167,52
"M",17,169,54
"F",17,163,46
"F",17,165,76
"F",17,150,47
"F",17,156,53
"M",17,172,57
"M",17,169,72
"F",17,144,51
"F",17,149,49
"M",17,177,61
"M",17,168,57
"F",17,157,46
"M",17,159,58
"M",17,164,67
"M",17,182,66
"M",17,164,51
"M",17,172,75
"M",17,170,67
"M",17,175,68
"F",17,147,48
"F",17,152,48
"M",17,172,51
"M",17,169,65
"M",17,168,45
"M",17,175,83
"F",17,159,52
"F",17,156,55
"F",17,165,50
"F",17,162,50
"M",17,166,56
"F",17,157,47
"F",17,151,49
"M",17,169,66
"F",17,151,50
"M",17,165,79
"F",17,152,47
"F",17,163,51
"M",17,175,63
"F",17,160,56
"F",17,157,46
"F",17,154,53
"F",17,158,44
"M",17,169,57
"M",17,168,63
"M",17,173,57
"F",17,148,40
"F",17,158,44
"M",17,170,82
"F",17,160,48
"F",17,173,60
"F",17,168,68
"F",17,161,51
"M",17,170,67
"M",17,172,68
"M",17,176,77
"M",17,173,52
"M",17,158,41
"M",17,172,62
"M",17,162,53
"F",17,163,58
"F",17,159,63
"M",17,167,49
"F",17,158,56
"F",17,159,74
"M",17,174,62
"F",17,155,59
"F",17,163,69
"M",17,175,98
"F",17,161,52
"F",17,160,43
"F",17,156,64
"M",17,176,55
"M",17,176,62
"M",17,172,57
"M",17,176,61
"F",17,152,43
"F",17,155,58
"F",17,164,51
"M",17,173,63
"F",17,158,54
"M",17,175,68
"F",17,162,58
"M",17,169,55
"F",17,155,50
"F",17,152,44
"F",17,156,50
"M",17,159,44
"F",17,158,49
"M",17,169,67
"M",17,171,66
"M",17,172,72
"M",17,165,61
"F",17,165,64
"F",17,165,58
"F",17,154,42
"F",17,152,45
"F",17,156,49
"F",17,155,54
"F",17,151,58
"M",17,170,64
"F",17,162,65
"F",17,158,61
"M",17,166,62
"M",17,169,55
"F",17,147,47
"F",17,153,59
"F",17,162,58
"M",17,169,63
"M",17,165,53
"F",17,154,49
"F",17,162,42
"M",17,165,82
"M",17,167,58
"F",17,160,53
"M",17,171,55
"F",17,150,51
"F",17,162,55
"F",17,153,47
"F",17,156,46
"M",17,168,67
"F",17,150,40
"M",17,171,53
"M",17,176,77
"F",17,153,53
"F",17,159,54
"M",17,170,56
"M",17,172,65
"F",17,160,50
"M",17,172,63
"M",17,167,63
"M",17,160,50
"M",17,165,57
"F",17,155,50
"F",17,157,54
"M",17,174,71
"F",17,148,48
"F",17,162,51
"F",17,156,62
"F",17,163,62
"M",17,180,66
"F",17,156,48
"M",17,184,67
"M",17,163,62
"M",17,170,64
"F",17,142,36
"M",17,177,89
"M",17,181,65
"F",17,146,60
"M",17,165,54
"F",17,163,58
"F",17,164,56
"M",17,177,71
"M",17,167,56
"F",17,155,49
"F",17,150,40
"F",17,150,60
"M",17,180,67
"M",17,180,56
"M",17,175,66
"M",17,165,62
"M",17,171,67
"F",17,144,63
"F",17,156,52
"M",17,180,85
"F",17,161,75
"M",17,178,60
"F",17,159,50
"M",17,172,59
"M",17,178,68
"M",17,161,52
"M",17,168,58
"M",17,189,57
"M",17,175,68
"M",17,170,56
"F",17,155,47
"M",17,162,51
"F",17,158,51
"M",17,173,73
"F",17,169,74
"M",17,159,52
"F",17,164,60
"F",17,162,51
"F",17,163,55
"F",17,154,56
"M",17,173,57
"M",17,169,52
"M",17,168,72
"M",17,175,59
"F",17,160,67
"F",17,159,49
"M",17,171,61
"F",17,155,51
"M",17,170,48
"F",17,166,61
"F",17,157,54
"M",17,171,56
"M",17,174,68
"M",17,172,62
"M",17,178,57
"F",17,152,47
"M",17,178,74
"M",17,173,59
"M",17,172,71
"F",17,157,46
"F",17,166,63
"F",17,153,45
"M",17,167,91
"M",17,161,77
"F",17,156,50
"F",17,161,53
"M",17,159,53
"F",17,154,56
"M",17,165,65
"F",17,148,48
"M",17,181,81
"M",17,160,63
"F",17,155,72
"M",17,160,47
"F",17,156,54
"M",17,162,62
"F",17,158,49
"M",17,168,63
"F",17,158,51
"M",17,185,78
"F",17,153,40
"M",17,174,54
"M",17,177,58
"F",17,159,60
"M",17,166,68
"F",17,161,55
"M",17,167,53
"F",17,153,48
"M",17,162,61
"F",17,168,51
"F",17,159,50
"F",17,156,57
"M",17,180,62
"F",17,156,51
"M",17,170,55
"F",17,163,60
"F",17,158,72
"F",17,152,48
"M",17,170,58
"F",17,164,50
"M",17,172,75
"F",17,144,45
"F",17,147,41
"F",17,151,52
"F",17,154,59
"F",17,163,57
"M",17,176,90
"F",17,162,57
"F",17,172,77
"M",17,172,64
"M",17,172,60
"F",17,158,53
"F",17,160,63
"F",17,164,52
"F",17,155,48
"F",17,155,50
"F",17,160,55
"F",17,155,53
"M",17,170,69
"F",17,149,46
"M",17,173,76
"F",17,151,47
"M",17,169,48
"M",17,165,70
"F",17,155,46
"F",17,159,56
"M",17,184,75
"F",17,157,57
"M",17,168,74
"F",17,159,55
"F",17,157,44
"F",17,160,50
"M",17,170,54
"M",17,165,56
"F",17,160,53
"F",17,154,45
"M",17,176,62
"M",17,168,68
"F",17,152,51
"M",17,163,64
"F",17,160,53
"M",17,170,55
"M",17,170,70
"M",17,188,80
"F",17,171,51
"M",17,173,61
"M",17,175,80
"F",17,154,43
"M",17,175,66
"F",17,151,49
"F",17,162,52
"F",17,155,50
"F",17,163,56
"F",17,156,55
"F",17,151,50
"M",17,180,67
"M",17,175,64
"F",17,157,64
"M",17,170,71
"F",17,162,56
"M",17,168,55
"F",17,157,53
"M",17,167,72
"M",17,167,50
"M",17,184,76
"F",17,167,63
"M",17,177,58
"M",17,160,52
"F",17,161,57
"M",17,163,56
"F",17,159,54
"F",17,166,49
"F",17,152,53
"M",17,168,55
